Time (s),Pages Processed,Pages/Second
1.00,0,0.00
2.00,0,0.00
3.00,0,0.00
4.00,0,0.00
5.01,0,0.00
6.01,0,0.00
7.01,0,0.00
8.01,0,0.00
9.01,0,0.00
10.01,0,0.00
11.01,0,0.00
12.01,0,0.00
13.01,4,0.31
14.01,4,0.29
15.01,4,0.27
16.01,4,0.25
17.02,4,0.24
18.02,4,0.22
19.02,4,0.21
20.02,4,0.20
21.02,11,0.52
22.02,11,0.50
23.02,11,0.48
24.02,11,0.46
25.03,11,0.44
26.03,11,0.42
27.03,11,0.41
28.03,11,0.39
29.03,11,0.38
30.03,11,0.37
31.03,11,0.35
32.03,11,0.34
33.03,11,0.33
34.03,21,0.62
35.03,21,0.60
36.04,21,0.58
37.04,21,0.57
38.04,21,0.55
39.04,21,0.54
40.04,21,0.52
41.04,21,0.51
42.04,21,0.50
43.04,21,0.49
44.05,21,0.48
45.05,21,0.47
46.05,31,0.67
47.05,31,0.66
48.05,31,0.65
49.05,31,0.63
50.05,31,0.62
51.05,31,0.61
52.05,31,0.60
53.05,31,0.58
54.06,31,0.57
55.06,31,0.56
56.06,31,0.55
57.06,31,0.54
58.06,43,0.74
59.06,43,0.73
60.06,43,0.72
61.06,43,0.70
62.06,43,0.69
63.06,43,0.68
64.06,43,0.67
65.06,43,0.66
66.07,78,1.18
67.07,78,1.16
68.07,78,1.15
69.07,78,1.13
70.07,78,1.11
71.07,78,1.10
72.07,78,1.08
73.07,78,1.07
74.07,78,1.05
75.07,78,1.04
76.08,78,1.03
77.08,78,1.01
78.08,78,1.00
79.08,78,0.99
80.08,78,0.97
81.08,78,0.96
82.08,78,0.95
83.08,78,0.94
84.08,78,0.93
85.08,78,0.92
86.08,78,0.91
87.09,78,0.90
88.09,78,0.89
89.09,78,0.88
90.09,78,0.87
91.09,78,0.86
92.09,78,0.85
93.09,78,0.84
94.09,78,0.83
95.09,78,0.82
96.09,78,0.81
97.10,78,0.80
98.10,78,0.80
99.10,78,0.79
100.10,78,0.78
101.10,555,5.49
102.10,555,5.44
103.10,555,5.38
104.10,555,5.33
105.10,555,5.28
106.10,555,5.23
107.10,555,5.18
108.11,555,5.13
109.11,555,5.09
110.11,555,5.04
111.11,555,5.00
112.11,555,4.95
113.11,555,4.91
114.11,555,4.86
115.11,555,4.82
116.11,555,4.78
117.11,555,4.74
118.11,555,4.70
119.11,555,4.66
120.12,555,4.62
121.12,555,4.58
122.12,555,4.54
123.12,555,4.51
124.12,555,4.47
125.12,555,4.44
126.12,555,4.40
127.12,555,4.37
128.12,555,4.33
129.12,555,4.30
130.13,555,4.27
131.13,555,4.23
132.13,555,4.20
133.13,555,4.17
134.13,555,4.14
135.13,555,4.11
136.13,555,4.08
137.13,555,4.05
138.13,555,4.02
139.13,555,3.99
140.14,555,3.96
141.14,555,3.93
142.14,555,3.90
143.14,555,3.88
144.14,555,3.85
145.14,555,3.82
146.14,555,3.80
147.14,555,3.77
148.15,555,3.75
149.15,555,3.72
150.15,555,3.70
151.15,555,3.67
152.15,555,3.65
153.15,555,3.62
154.15,555,3.60
155.15,555,3.58
156.15,555,3.55
157.15,555,3.53
158.15,555,3.51
159.16,555,3.49
160.16,555,3.47
161.16,555,3.44
162.16,555,3.42
163.16,555,3.40
164.16,555,3.38
165.16,555,3.36
166.16,555,3.34
167.16,555,3.32
168.16,555,3.30
169.17,555,3.28
170.17,555,3.26
171.17,555,3.24
172.17,555,3.22
173.17,555,3.20
174.17,555,3.19
175.17,555,3.17
176.17,555,3.15
177.17,555,3.13
178.17,555,3.11
179.17,555,3.10
180.17,555,3.08
181.18,555,3.06
182.18,555,3.05
183.18,555,3.03
184.18,555,3.01
185.18,555,3.00
186.18,555,2.98
187.18,555,2.97
188.18,555,2.95
189.18,555,2.93
190.19,555,2.92
191.19,555,2.90
192.19,555,2.89
193.19,555,2.87
194.20,555,2.86
195.20,555,2.84
196.20,555,2.83
197.20,555,2.81
198.20,555,2.80
199.20,555,2.79
200.20,555,2.77
201.20,555,2.76
202.20,555,2.74
203.21,555,2.73
204.21,555,2.72
205.21,555,2.70
206.21,555,2.69
207.21,555,2.68
208.21,555,2.67
209.21,555,2.65
210.21,555,2.64
211.21,555,2.63
212.21,555,2.62
213.22,555,2.60
214.22,555,2.59
215.22,555,2.58
216.22,562,2.60
217.22,562,2.59
218.22,562,2.58
219.22,562,2.56
220.22,562,2.55
221.22,562,2.54
222.23,562,2.53
223.23,562,2.52
224.23,562,2.51
225.23,562,2.50
226.23,562,2.48
227.23,562,2.47
228.23,562,2.46
229.23,562,2.45
229.34,563,2.45
