Time (s),Pages Processed,Pages/Second
1.00,0,0.00
2.00,0,0.00
3.00,0,0.00
4.00,0,0.00
5.01,4,0.80
6.01,11,1.83
7.01,50,7.13
8.01,50,6.24
9.01,50,5.55
10.01,62,6.19
11.01,62,5.63
12.01,63,5.24
13.01,63,4.84
14.02,86,6.14
15.02,86,5.73
16.02,86,5.37
17.02,86,5.05
18.02,86,4.77
19.02,86,4.52
20.02,86,4.30
21.02,86,4.09
22.02,86,3.90
23.03,86,3.73
24.03,86,3.58
25.03,86,3.44
26.03,86,3.30
27.03,86,3.18
28.03,86,3.07
29.03,86,2.96
30.03,86,2.86
31.03,86,2.77
32.04,86,2.68
33.04,86,2.60
34.04,86,2.53
35.04,86,2.45
36.04,86,2.39
37.04,86,2.32
38.04,86,2.26
39.04,86,2.20
40.04,86,2.15
41.05,86,2.10
42.05,86,2.05
43.05,86,2.00
44.05,86,1.95
45.05,86,1.91
46.05,86,1.87
47.05,86,1.83
48.05,86,1.79
49.05,86,1.75
50.06,86,1.72
51.06,86,1.68
52.06,86,1.65
53.06,86,1.62
54.06,86,1.59
55.06,86,1.56
56.06,86,1.53
57.06,86,1.51
58.07,86,1.48
59.07,86,1.46
60.07,86,1.43
61.07,86,1.41
62.07,86,1.39
63.07,86,1.36
64.07,86,1.34
65.07,86,1.32
66.07,86,1.30
67.07,86,1.28
68.07,86,1.26
69.08,86,1.25
70.08,86,1.23
71.08,86,1.21
72.08,86,1.19
73.08,86,1.18
73.40,563,7.67
