Time (s),Pages Processed,Pages/Second
1.00,0,0.00
2.00,0,0.00
3.00,0,0.00
4.00,0,0.00
5.01,0,0.00
6.01,11,1.83
7.01,18,2.57
8.01,28,3.50
9.01,38,4.22
10.01,38,3.80
11.01,38,3.45
12.01,38,3.16
13.01,38,2.92
14.02,38,2.71
15.02,38,2.53
16.02,38,2.37
17.02,38,2.23
18.02,38,2.11
19.02,38,2.00
20.02,38,1.90
21.02,38,1.81
22.02,38,1.73
23.02,38,1.65
24.03,38,1.58
25.03,38,1.52
26.03,38,1.46
27.03,38,1.41
28.03,38,1.36
29.03,38,1.31
30.03,38,1.27
31.03,38,1.22
32.03,38,1.19
33.03,38,1.15
34.03,38,1.12
35.04,38,1.08
36.04,38,1.05
37.04,38,1.03
38.04,38,1.00
39.04,38,0.97
40.04,38,0.95
41.04,38,0.93
42.04,38,0.90
43.04,38,0.88
44.04,38,0.86
45.04,38,0.84
46.05,38,0.83
47.05,38,0.81
48.05,38,0.79
49.05,38,0.77
50.05,38,0.76
51.05,38,0.74
52.05,38,0.73
53.05,38,0.72
54.05,38,0.70
55.05,38,0.69
56.06,38,0.68
57.06,38,0.67
58.06,38,0.65
59.06,38,0.64
60.06,38,0.63
61.06,38,0.62
62.06,38,0.61
63.06,38,0.60
64.06,38,0.59
65.07,38,0.58
66.07,38,0.58
67.07,38,0.57
68.07,38,0.56
69.07,38,0.55
70.07,38,0.54
71.07,38,0.53
72.07,38,0.53
73.07,38,0.52
74.07,38,0.51
75.08,38,0.51
76.08,38,0.50
77.08,38,0.49
78.08,38,0.49
79.08,38,0.48
80.08,38,0.47
81.08,515,6.35
82.08,515,6.27
83.09,515,6.20
84.09,515,6.12
85.09,515,6.05
86.09,515,5.98
87.09,515,5.91
88.09,515,5.85
89.09,515,5.78
90.09,515,5.72
91.09,515,5.65
92.10,515,5.59
93.10,515,5.53
94.10,515,5.47
95.10,515,5.42
96.10,515,5.36
97.10,515,5.30
98.10,515,5.25
99.10,515,5.20
100.10,515,5.14
101.11,515,5.09
102.11,515,5.04
103.11,515,4.99
104.11,515,4.95
105.11,515,4.90
106.11,515,4.85
107.11,515,4.81
108.11,515,4.76
109.11,515,4.72
110.11,515,4.68
111.11,515,4.63
112.11,515,4.59
113.12,515,4.55
114.12,515,4.51
115.12,515,4.47
116.12,515,4.44
117.12,515,4.40
118.12,527,4.46
119.12,527,4.42
120.12,527,4.39
121.12,527,4.35
122.12,527,4.32
123.13,527,4.28
124.13,527,4.25
125.13,528,4.22
126.13,528,4.19
127.13,540,4.25
128.13,540,4.21
129.13,540,4.18
130.13,540,4.15
131.14,540,4.12
132.14,540,4.09
133.14,540,4.06
134.14,540,4.03
135.14,540,4.00
136.14,540,3.97
137.14,540,3.94
138.14,540,3.91
139.14,540,3.88
140.14,540,3.85
141.15,540,3.83
142.15,540,3.80
143.15,540,3.77
144.15,540,3.75
145.15,540,3.72
146.15,540,3.69
147.15,540,3.67
148.15,540,3.64
149.15,540,3.62
150.16,540,3.60
151.16,540,3.57
152.16,540,3.55
153.16,540,3.53
154.16,540,3.50
155.16,540,3.48
156.16,540,3.46
157.16,540,3.44
158.16,540,3.41
159.16,540,3.39
160.17,540,3.37
161.17,540,3.35
162.17,540,3.33
163.17,540,3.31
164.17,540,3.29
165.17,540,3.27
166.17,540,3.25
167.18,540,3.23
168.18,540,3.21
169.18,540,3.19
170.18,540,3.17
171.18,540,3.15
172.18,540,3.14
173.18,540,3.12
174.18,540,3.10
175.18,540,3.08
176.18,540,3.06
177.19,540,3.05
178.19,540,3.03
179.19,540,3.01
180.19,540,3.00
181.19,540,2.98
182.19,540,2.96
183.19,540,2.95
184.19,540,2.93
185.20,540,2.92
186.20,540,2.90
187.20,540,2.88
188.20,540,2.87
189.20,540,2.85
190.20,540,2.84
191.20,540,2.82
192.20,540,2.81
193.20,540,2.80
194.20,540,2.78
195.20,540,2.77
196.21,540,2.75
197.21,540,2.74
198.21,540,2.72
199.21,540,2.71
200.21,540,2.70
201.21,540,2.68
202.21,540,2.67
203.21,540,2.66
204.21,540,2.64
205.21,540,2.63
206.21,540,2.62
207.21,540,2.61
208.21,540,2.59
209.21,540,2.58
210.21,540,2.57
211.22,540,2.56
212.22,540,2.54
213.22,540,2.53
214.22,540,2.52
215.22,540,2.51
216.22,540,2.50
217.22,540,2.49
218.22,540,2.47
219.22,540,2.46
220.22,540,2.45
221.23,540,2.44
222.23,540,2.43
223.23,540,2.42
224.23,540,2.41
225.23,540,2.40
226.23,540,2.39
227.23,540,2.38
228.23,540,2.37
229.23,540,2.36
230.23,540,2.35
231.24,540,2.34
232.24,540,2.33
233.24,540,2.32
234.24,540,2.31
235.24,540,2.30
236.24,540,2.29
237.24,540,2.28
238.24,540,2.27
239.24,540,2.26
240.25,540,2.25
241.25,540,2.24
242.25,540,2.23
243.25,540,2.22
244.25,540,2.21
245.25,540,2.20
246.25,540,2.19
