Time (s),Pages Processed,Pages/Second
1.00,0,0.00
2.00,0,0.00
3.00,0,0.00
4.00,0,0.00
5.01,11,2.20
6.01,21,3.50
7.01,31,4.42
8.01,38,4.75
9.01,38,4.22
10.01,38,3.80
11.01,38,3.45
12.01,38,3.16
13.01,38,2.92
14.01,61,4.35
15.01,61,4.06
16.01,61,3.81
17.02,61,3.58
18.02,61,3.39
19.02,61,3.21
20.02,61,3.05
21.02,61,2.90
22.02,61,2.77
23.02,61,2.65
24.02,61,2.54
25.02,61,2.44
26.02,61,2.34
27.02,61,2.26
28.03,61,2.18
29.03,61,2.10
30.03,61,2.03
31.03,61,1.97
32.03,61,1.90
33.03,61,1.85
34.03,61,1.79
35.03,61,1.74
36.03,61,1.69
37.04,61,1.65
38.04,61,1.60
39.04,61,1.56
40.04,61,1.52
41.04,61,1.49
42.04,61,1.45
43.04,61,1.42
44.04,61,1.39
45.04,61,1.35
46.04,61,1.32
47.04,61,1.30
48.05,61,1.27
49.05,61,1.24
50.05,61,1.22
51.05,61,1.19
52.05,61,1.17
53.05,61,1.15
54.05,61,1.13
55.05,61,1.11
56.05,61,1.09
57.05,61,1.07
58.05,61,1.05
59.05,61,1.03
60.06,61,1.02
61.06,61,1.00
62.06,61,0.98
63.06,61,0.97
64.06,61,0.95
65.06,61,0.94
66.06,61,0.92
67.06,61,0.91
68.06,61,0.90
69.06,61,0.88
70.06,61,0.87
71.07,61,0.86
72.07,538,7.47
73.07,538,7.36
74.07,538,7.26
75.07,538,7.17
76.07,538,7.07
77.07,538,6.98
78.07,538,6.89
79.07,538,6.80
80.07,538,6.72
81.08,538,6.64
82.08,538,6.55
83.08,538,6.48
84.08,538,6.40
85.08,538,6.32
86.08,538,6.25
87.08,538,6.18
88.08,538,6.11
89.08,538,6.04
90.09,538,5.97
91.09,538,5.91
92.09,538,5.84
93.09,538,5.78
94.09,538,5.72
95.09,550,5.78
96.09,550,5.72
97.09,550,5.66
98.09,550,5.61
99.09,550,5.55
100.10,550,5.49
101.10,551,5.45
102.10,551,5.40
103.10,551,5.34
104.10,551,5.29
105.10,551,5.24
106.10,551,5.19
107.10,551,5.14
108.11,551,5.10
109.11,551,5.05
110.11,551,5.00
111.11,551,4.96
112.11,551,4.91
113.11,551,4.87
114.11,551,4.83
115.00,563,4.90
