Time (s),Pages Processed,Pages/Second
1.00,0,0.00
2.00,0,0.00
3.00,0,0.00
4.00,0,0.00
5.00,3,0.60
6.01,3,0.50
7.01,25,3.57
8.01,33,4.12
9.01,43,4.77
10.01,43,4.30
11.01,43,3.91
12.01,90,7.49
13.01,90,6.92
14.01,160,11.42
15.01,161,10.72
16.01,161,10.05
17.02,161,9.46
18.02,167,9.27
19.02,177,9.31
20.02,228,11.39
21.02,238,11.32
22.02,238,10.81
23.02,238,10.34
24.02,248,10.32
25.03,288,11.51
26.03,295,11.33
27.03,384,14.21
28.03,384,13.70
29.03,384,13.23
30.03,396,13.19
31.03,497,16.02
32.03,497,15.52
33.03,533,16.14
34.03,533,15.66
35.03,533,15.21
36.03,533,14.79
37.03,533,14.39
38.04,674,17.72
39.04,674,17.27
40.04,674,16.83
41.04,674,16.42
42.04,674,16.03
43.04,674,15.66
44.04,674,15.30
45.04,674,14.96
46.04,674,14.64
47.04,674,14.33
48.05,674,14.03
49.05,674,13.74
50.05,674,13.47
51.05,674,13.20
52.05,674,12.95
53.05,674,12.70
54.05,674,12.47
55.05,674,12.24
56.05,674,12.02
57.06,674,11.81
58.06,674,11.61
59.06,674,11.41
60.06,674,11.22
61.06,674,11.04
62.06,674,10.86
63.06,674,10.69
64.06,674,10.52
65.06,674,10.36
66.06,674,10.20
67.06,674,10.05
68.07,674,9.90
69.07,674,9.76
70.07,674,9.62
71.07,674,9.48
72.07,674,9.35
73.07,674,9.22
74.07,674,9.10
75.07,674,8.98
76.07,674,8.86
77.07,687,8.91
78.07,687,8.80
79.08,687,8.69
80.08,703,8.78
81.08,703,8.67
82.08,703,8.56
83.08,703,8.46
84.08,703,8.36
85.08,703,8.26
86.08,703,8.17
87.08,703,8.07
88.08,703,7.98
89.08,703,7.89
90.08,703,7.80
91.09,703,7.72
92.09,703,7.63
93.09,834,8.96
94.09,834,8.86
95.09,883,9.29
96.09,883,9.19
97.09,883,9.09
98.09,913,9.31
99.09,913,9.21
100.09,913,9.12
101.09,913,9.03
102.10,913,8.94
103.10,913,8.86
104.10,929,8.92
105.10,929,8.84
106.10,929,8.76
107.10,929,8.67
108.10,929,8.59
109.10,941,8.62
110.10,941,8.55
111.10,957,8.61
112.10,957,8.54
113.11,957,8.46
114.11,994,8.71
115.11,994,8.64
116.11,1118,9.63
117.11,1167,9.96
118.11,1167,9.88
119.11,1167,9.80
120.11,1213,10.10
121.11,1213,10.02
122.12,1213,9.93
123.12,1289,10.47
124.12,1304,10.51
125.12,1781,14.23
126.12,1781,14.12
127.12,1781,14.01
128.12,1781,13.90
129.12,1781,13.79
130.12,1796,13.80
131.12,1796,13.70
132.12,1796,13.59
133.13,1796,13.49
134.13,1808,13.48
135.13,1808,13.38
136.13,1808,13.28
137.13,1808,13.18
138.13,1924,13.93
139.13,1924,13.83
140.13,1924,13.73
141.13,1924,13.63
142.13,1977,13.91
143.13,1977,13.81
144.14,2017,13.99
145.14,2017,13.90
146.14,2039,13.95
147.14,2039,13.86
148.14,2052,13.85
149.14,2052,13.76
150.14,2193,14.61
151.14,2193,14.51
152.14,2200,14.46
153.14,2200,14.37
154.14,2200,14.27
155.14,2200,14.18
156.15,2337,14.97
157.15,2350,14.95
158.15,2350,14.86
159.15,2350,14.77
160.15,2350,14.67
161.15,2361,14.65
162.15,2361,14.56
163.15,2377,14.57
164.15,2377,14.48
165.15,2377,14.39
166.15,2377,14.31
167.15,2377,14.22
168.15,2377,14.14
169.16,2377,14.05
170.16,2509,14.75
171.16,2509,14.66
172.16,2509,14.57
173.16,2658,15.35
174.16,2658,15.26
175.16,2711,15.48
176.16,2711,15.39
177.16,2711,15.30
178.16,2711,15.22
179.16,2711,15.13
180.16,2758,15.31
181.17,2758,15.22
182.17,2758,15.14
183.17,2776,15.16
184.17,2776,15.07
185.17,2841,15.34
186.17,2912,15.64
187.17,2912,15.56
188.17,2939,15.62
189.17,2939,15.54
190.18,3011,15.83
191.18,3011,15.75
192.18,3011,15.67
193.18,3011,15.59
194.18,3013,15.52
195.18,3013,15.44
196.18,3013,15.36
197.18,3039,15.41
198.18,3039,15.33
199.19,3051,15.32
200.19,3051,15.24
201.19,3051,15.17
202.19,3051,15.09
203.19,3051,15.02
204.19,3054,14.96
205.19,3054,14.88
206.19,3085,14.96
207.19,3085,14.89
208.19,3085,14.82
209.19,3224,15.41
210.19,3224,15.34
211.20,3224,15.27
212.20,3224,15.19
213.20,3224,15.12
214.20,3258,15.21
215.20,3258,15.14
216.20,3258,15.07
217.20,3286,15.13
218.20,3286,15.06
219.20,3286,14.99
220.20,3286,14.92
221.20,3286,14.85
222.21,3378,15.20
223.21,3378,15.13
224.21,3378,15.07
225.21,3378,15.00
226.21,3516,15.54
227.21,3516,15.47
228.21,3516,15.41
229.21,3594,15.68
230.21,3706,16.10
231.21,3749,16.21
232.22,3749,16.14
233.22,3749,16.08
234.22,3749,16.01
