task_id,file_name,page_count,message,start_time,end_time
c28d6a37-6c43-4944-8cc9-de948c631b8f,test.pdf,12,Task queued,2024-10-20T23:21:53.487Z,2024-10-20T23:21:56.751Z
c28d6a37-6c43-4944-8cc9-de948c631b8f,test.pdf,12,Converting file to images,2024-10-20T23:21:56.751Z,2024-10-20T23:21:57.834Z
68a06120-19d1-4120-8cae-4cfd83bee5b3,test.pdf,0,Task queued,2024-10-20T23:21:53.504Z,2024-10-20T23:21:57.844Z
68a06120-19d1-4120-8cae-4cfd83bee5b3,test.pdf,12,Converting file to images,2024-10-20T23:21:57.844Z,2024-10-20T23:22:00.012Z
d1cf8bcc-2cc4-4e24-887c-97aa63255479,test.pdf,0,Task queued,2024-10-20T23:21:53.519Z,2024-10-20T23:22:00.025Z
d1cf8bcc-2cc4-4e24-887c-97aa63255479,test.pdf,12,Converting file to images,2024-10-20T23:22:00.025Z,2024-10-20T23:22:01.116Z
d1cf8bcc-2cc4-4e24-887c-97aa63255479,test.pdf,12,Segmentation queued,2024-10-20T23:22:01.116Z,2024-10-20T23:22:02.201Z
c28d6a37-6c43-4944-8cc9-de948c631b8f,test.pdf,12,Segmenting,2024-10-20T23:21:57.834Z,2024-10-20T23:22:06.536Z
b9035047-d102-4225-9407-04ebf67826c7,test.pdf,0,Task queued,2024-10-20T23:21:53.592Z,2024-10-20T23:22:07.688Z
b9035047-d102-4225-9407-04ebf67826c7,test.pdf,12,Converting file to images,2024-10-20T23:22:07.688Z,2024-10-20T23:22:08.771Z
be156085-81f2-4987-80b3-4ebe86c5d798,test.pdf,0,Task queued,2024-10-20T23:21:53.644Z,2024-10-20T23:22:08.845Z
68a06120-19d1-4120-8cae-4cfd83bee5b3,test.pdf,12,Segmenting,2024-10-20T23:22:00.012Z,2024-10-20T23:22:09.794Z
be156085-81f2-4987-80b3-4ebe86c5d798,test.pdf,12,Converting file to images,2024-10-20T23:22:08.845Z,2024-10-20T23:22:11.005Z
d1cf8bcc-2cc4-4e24-887c-97aa63255479,test.pdf,12,Segmenting,2024-10-20T23:22:02.201Z,2024-10-20T23:22:11.961Z
b9035047-d102-4225-9407-04ebf67826c7,test.pdf,12,Segmenting,2024-10-20T23:22:08.771Z,2024-10-20T23:22:18.510Z
68a06120-19d1-4120-8cae-4cfd83bee5b3,test.pdf,12,Chunking queued,2024-10-20T23:22:09.794Z,2024-10-20T23:22:19.556Z
c28d6a37-6c43-4944-8cc9-de948c631b8f,test.pdf,12,Cropping segments,2024-10-20T23:22:06.536Z,2024-10-20T23:22:19.574Z
c28d6a37-6c43-4944-8cc9-de948c631b8f,test.pdf,12,OCR queued,2024-10-20T23:22:19.574Z,2024-10-20T23:22:20.656Z
be156085-81f2-4987-80b3-4ebe86c5d798,test.pdf,12,Segmenting,2024-10-20T23:22:11.005Z,2024-10-20T23:22:21.828Z
68a06120-19d1-4120-8cae-4cfd83bee5b3,test.pdf,12,Cropping segments,2024-10-20T23:22:19.556Z,2024-10-20T23:22:32.564Z
d1cf8bcc-2cc4-4e24-887c-97aa63255479,test.pdf,12,Chunking queued,2024-10-20T23:22:11.961Z,2024-10-20T23:22:32.564Z
c28d6a37-6c43-4944-8cc9-de948c631b8f,test.pdf,12,OCR started,2024-10-20T23:22:20.656Z,2024-10-20T23:22:32.710Z
c28d6a37-6c43-4944-8cc9-de948c631b8f,test.pdf,12,Task succeeded,2024-10-20T23:22:32.710Z,2024-10-20T23:22:32.710Z
68a06120-19d1-4120-8cae-4cfd83bee5b3,test.pdf,12,OCR queued,2024-10-20T23:22:32.564Z,2024-10-20T23:22:33.646Z
8a75f201-a47f-4885-ac78-e573db160a26,test.pdf,0,Task queued,2024-10-20T23:22:33.413Z,2024-10-20T23:22:34.496Z
8a75f201-a47f-4885-ac78-e573db160a26,test.pdf,12,Converting file to images,2024-10-20T23:22:34.496Z,2024-10-20T23:22:36.680Z
b9035047-d102-4225-9407-04ebf67826c7,test.pdf,12,Chunking queued,2024-10-20T23:22:18.510Z,2024-10-20T23:22:45.649Z
d1cf8bcc-2cc4-4e24-887c-97aa63255479,test.pdf,12,Cropping segments,2024-10-20T23:22:32.564Z,2024-10-20T23:22:45.663Z
68a06120-19d1-4120-8cae-4cfd83bee5b3,test.pdf,12,OCR started,2024-10-20T23:22:33.646Z,2024-10-20T23:22:45.769Z
68a06120-19d1-4120-8cae-4cfd83bee5b3,test.pdf,12,Task succeeded,2024-10-20T23:22:45.769Z,2024-10-20T23:22:45.769Z
8a75f201-a47f-4885-ac78-e573db160a26,test.pdf,12,Segmenting,2024-10-20T23:22:36.680Z,2024-10-20T23:22:46.452Z
e6036e33-92cd-4115-95cb-912316ba67ff,test.pdf,0,Task queued,2024-10-20T23:22:46.475Z,2024-10-20T23:22:47.563Z
e6036e33-92cd-4115-95cb-912316ba67ff,test.pdf,12,Converting file to images,2024-10-20T23:22:47.563Z,2024-10-20T23:22:49.723Z
d1cf8bcc-2cc4-4e24-887c-97aa63255479,test.pdf,12,OCR started,2024-10-20T23:22:45.663Z,2024-10-20T23:22:56.609Z
d1cf8bcc-2cc4-4e24-887c-97aa63255479,test.pdf,12,Task succeeded,2024-10-20T23:22:56.609Z,2024-10-20T23:22:56.609Z
b9035047-d102-4225-9407-04ebf67826c7,test.pdf,12,Cropping segments,2024-10-20T23:22:45.649Z,2024-10-20T23:22:57.568Z
e6036e33-92cd-4115-95cb-912316ba67ff,test.pdf,12,Segmenting,2024-10-20T23:22:49.723Z,2024-10-20T23:22:58.399Z
a1e12671-1e8a-4b21-a063-20031c43ee13,test.pdf,0,Task queued,2024-10-20T23:22:57.333Z,2024-10-20T23:22:58.414Z
b9035047-d102-4225-9407-04ebf67826c7,test.pdf,12,Chunking segments,2024-10-20T23:22:57.568Z,2024-10-20T23:22:58.649Z
be156085-81f2-4987-80b3-4ebe86c5d798,test.pdf,12,Chunking queued,2024-10-20T23:22:21.828Z,2024-10-20T23:22:58.684Z
