run,request_id,file,response_time
1,1-1,image001[114].jpg,1.0577
1,1-2,image001[475].jpg,1.3231
1,1-3,flower-of-life.jpg,2.2235
1,1-4,image001[454].jpg,4.3245
1,1-5,image001[284].jpg,5.6919
1,1-6,image001[488].jpg,5.9598
1,1-7,image001[35].jpg,6.2384
1,1-8,image001[98].jpg,6.3517
1,1-9,image001[78].jpg,6.4935
1,1-10,8be9dd01-6183-4153-a17a-df323d98470a.jpg,7.1667
1,1-11,40ef14ec-c4e0-459d-83ab-7b3598d381d9.jpg,7.5762
1,1-12,image001[17].jpg,7.7788
1,1-13,7f065523-237b-43e8-b3b2-b32e9a35825b copy.jpg,8.1645
1,1-14,image001[474].jpg,8.3838
1,1-15,Example-of-a-complex-table-structure-modified-from-16 copy.png,9.1110
1,1-16,image001[30].jpg,9.3107
1,1-17,7f065523-237b-43e8-b3b2-b32e9a35825b.jpg,9.5665
1,1-18,image001[482].jpg,9.7281
1,1-19,0b4ec87b-3973-4c29-a7f0-52ccfbedaf93 copy 2.jpg,10.1155
1,1-20,image001[228].jpg,10.2572
1,1-21,image001[234].jpg,10.3729
1,1-22,image001[206].jpg,10.5113
1,1-23,ff038c19-6cae-4d1a-b1a0-50d4d98d4ac9.jpg,10.9480
1,1-24,image001[166].jpg,11.1667
1,1-25,b3897b84-796b-438f-99c9-886d0dde405c copy.jpg,11.9746
1,1-26,image001[443].jpg,12.2402
1,1-27,8be9dd01-6183-4153-a17a-df323d98470a copy.jpg,12.7497
1,1-28,image001[275].jpg,12.9059
1,1-29,EAD_Back[150].JPG,13.3871
1,1-30,image001[306].jpg,13.6141
1,1-31,6ead4add-5f9e-42cf-851d-3f4f42d5bf0d..jpg,14.2754
1,1-32,image001[173].jpg,14.6790
1,1-33,e8bfc0c9-1054-4162-a07d-1ba551dfdf79 copy.jpg,15.1485
1,1-34,image001[258].jpg,15.2936
1,1-35,image001[323].jpg,15.5732
1,1-36,0b4ec87b-3973-4c29-a7f0-52ccfbedaf93.jpg,15.8807
1,1-37,0f4e8865c87c620ba91ec7b622547382a39a661ae6e8f6d4b0f89e1a.png,16.8717
1,1-38,image001[179].jpg,17.0422
1,1-39,Screenshot 2024-09-19 at 12.10.00 PM copy.png,17.4284
1,1-40,image001[505].jpg,17.8110
1,1-41,cd59da73-6c12-4c73-a711-792cad12f3a1.jpg,18.3186
1,1-42,b56cdf4b-547f-4f46-bab2-18f1bce3e21f copy.jpg,18.8963
1,1-43,e8bfc0c9-1054-4162-a07d-1ba551dfdf79.jpg,19.3598
1,1-44,image001[91].jpg,19.5454
1,1-45,image001[486].jpg,19.7495
1,1-46,Example-of-a-complex-table-structure-modified-from-16.png,20.2759
1,1-47,image001[477].jpg,20.4705
1,1-48,2ce0463b-44cb-4104-a313-a6e86327db98.jpg,20.7187
1,1-49,image001[434].jpg,20.9564
1,1-50,8ce6ab48-304c-4a4c-80f6-a32d234234bd.jpg,21.3085
1,1-51,b56cdf4b-547f-4f46-bab2-18f1bce3e21f.jpg,21.8005
1,1-52,image001[479].jpg,22.1973
1,1-53,image001[448].jpg,22.4040
1,1-54,6b232271-663c-46ec-a031-e64cd8149e56 copy.jpg,22.9003
